;------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
; # MIN		        =	Mínimo de points da configuração.
; # MAX                 =       Máximo de points da configuração ou -1 para ilimitado.
; # NAME		=	Nome da patent.
;
;  Obs: Você não pode repetir números. Configure corretamente.
;  Exemplo: Min 0, Max 50 / Min 51, Max 100 (Não coloque 0-50 / 50-100 (Observe que no último, o 50 foi repetido))
;------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
; #	    MIN	       MAX      NAME
;------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0
            0           5       // 1
            6           10      // 2
            11          20      // 3
            21          30      // 4
            31          40      // 5
            41          50      // 6
            51          60      // 7
            61          70      // 8
            71          80      // 9
            81          90      // 10
            91          100     // 11
            101         110     // 12
            111         120     // 13
            121         130     // 14
            131         140     // 15
            141         150     // 16
            151         160     // 17
            161         170     // 18
            171         180     // 19
            181         190     // 20
            191         200     // 21
            201         210     // 22
            211         220     // 23
            229         230     // 24
            231         240     // 25
            241         250     // 26
            251         260     // 27
            261         270     // 28
            271         280     // 29
            281         300     // 30
            301         -1      // 31
end
